screened_at_utc,pdb_id,decision,reason,source_url
2026-08-12T21:42:47Z,7TH6,retrieval_failed,Discovery rank 216: selected organic cyclophilin-D ligand; original mmCIF recovery received HTTP 502 from the RCSB file service and remains a retained infrastructure outcome pending a later retry.,https://files.rcsb.org/download/7TH6.cif
2026-08-12T21:42:47Z,6Q7D,retrieval_failed,Discovery rank 221: selected organic EphA2 ligand; original mmCIF recovery received HTTP 502 from the RCSB file service and remains a retained infrastructure outcome pending a later retry.,https://files.rcsb.org/download/6Q7D.cif
2026-08-12T22:08:48Z,7TH6,retrieved,Targeted retry via --case-id expansion-013 succeeded after the earlier HTTP 502 infrastructure failure; original mmCIF now checksummed in the retrieval manifest.,https://files.rcsb.org/download/7TH6.cif
2026-08-12T22:09:14Z,6Q7D,retrieved,Targeted retry via --case-id expansion-014 succeeded after the earlier HTTP 502 infrastructure failure; original mmCIF now checksummed in the retrieval manifest.,https://files.rcsb.org/download/6Q7D.cif
2026-08-12T22:37:00Z,1NWZ,candidate,Discovery rank 42: selected organic photoactive yellow protein (PYP) chromophore ligand; distinct target class not previously represented; original mmCIF recovered and checksummed.,https://data.rcsb.org/rest/v1/core/entry/1NWZ
2026-08-12T22:37:00Z,1X8Q,candidate,Discovery rank 57: selected heme (protoporphyrin IX Fe) cofactor in Nitrophorin 4; distinct heme-binding target class not previously represented; original mmCIF recovered and checksummed.,https://data.rcsb.org/rest/v1/core/entry/1X8Q
2026-08-12T22:37:00Z,7APW,skipped,Discovery rank 86: FKBP51 Fk1 domain ligand, but skipped by the target-diversity rule because 7AOT already represents FKBP51.,https://data.rcsb.org/rest/v1/core/entry/7APW
2026-08-12T22:52:00Z,4X5P,candidate,Sampled from lower rank of frozen clean-discovery query after observing resolution bias toward sub-1-A entries near the top; FimH lectin domain with mannoside inhibitor is a distinct bacterial adhesin target class; original mmCIF recovered and checksummed.,https://data.rcsb.org/rest/v1/core/entry/4X5P
2026-08-12T22:50:00Z,6UN0,skipped,Photoactive yellow protein ligand variant, but skipped by the target-diversity rule because 1NWZ already represents PYP.,https://data.rcsb.org/rest/v1/core/entry/6UN0
2026-08-12T22:50:00Z,7APS,skipped,FKBP51 Fk1 domain ligand, but skipped by the target-diversity rule because 7AOT already represents FKBP51.,https://data.rcsb.org/rest/v1/core/entry/7APS
2026-08-13T02:04:26Z,5HBS,candidate,Public X-ray human cellular retinol binding protein 1 complex with all-trans-retinol; distinct lipid-transport target class; 0.89 A resolution; original mmCIF recovered and checksummed.,https://data.rcsb.org/rest/v1/core/entry/5HBS
2026-08-13T02:04:26Z,9HOO,candidate,Public X-ray orotidine 5 monophosphate decarboxylase domain of human UMPS in complex with product UMP; distinct metabolic enzyme target class; 0.83 A resolution; classified contextual due to an additional non-polymer component requiring manual review.,https://data.rcsb.org/rest/v1/core/entry/9HOO
2026-08-13T02:04:26Z,4XXG,candidate,Public X-ray cholesterol oxidase from Streptomyces with FAD cofactor; distinct oxidoreductase target class; 0.85 A resolution; original mmCIF recovered and checksummed.,https://data.rcsb.org/rest/v1/core/entry/4XXG
2026-08-13T02:04:26Z,2BT9,candidate,Public X-ray bacterial lectin from Ralstonia solanacearum complexed with methyl alpha-L-fucopyranoside; distinct carbohydrate-binding target class; 0.94 A resolution; classified contextual due to three chains and six ligand instances requiring a broader policy.,https://data.rcsb.org/rest/v1/core/entry/2BT9
2026-08-13T02:04:26Z,6TE2,candidate,Public X-ray human protein kinase CK2alpha prime in complex with a 2-aminothiazole-type inhibitor; distinct kinase target class; 0.922 A resolution; original mmCIF recovered and checksummed.,https://data.rcsb.org/rest/v1/core/entry/6TE2
